"id","created_at","updated_at","ended_at","title","date","group_id"
1,"2023-06-14 09:23:37.298258","2023-06-14 09:23:37.298258",NULL,"Wedding anniversary (Nami)","2020-11-28",1
2,"2023-06-14 09:36:26.658744","2023-06-14 09:36:26.658744",NULL,"First met (Nami)","2016-06-14",1
3,"2023-06-14 09:36:26.658744","2023-06-14 09:36:26.658744",NULL,"Anniversary (Nami)","2016-07-20",1
4,"2023-06-14 09:36:26.658744","2023-06-14 09:36:26.658744",NULL,"The Sky Door Battery","2022-04-21",5
5,"2023-06-14 09:36:26.658744","2023-06-14 09:36:26.658744",NULL,"The Sky Mortgage","2018-01-31",1
6,"2023-06-14 09:36:26.658744","2023-06-14 09:36:26.658744",NULL,"Climbing","2017-08-21",2
7,"2023-06-14 09:36:26.658744","2023-06-14 09:36:26.658744",NULL,"Bujo","2020-12-29",2
8,"2023-06-14 09:36:26.658744","2023-06-14 09:36:26.658744",NULL,"IF","2021-04-24",2
9,"2023-06-14 09:36:26.658744","2023-06-14 09:36:26.658744",NULL,"iPad Air 4","2020-12-01",3
10,"2023-06-14 09:36:26.658744","2023-06-14 09:36:26.658744",NULL,"iPhone 11","2019-01-12",3
11,"2023-06-14 09:36:26.658744","2023-06-14 09:36:26.658744",NULL,"Dental","2022-12-31",5
12,"2023-06-19 14:50:54.148109","2023-06-19 14:50:54.148109",NULL,"Netflix","2017-03-01",4
13,"2023-06-19 14:50:54.148109","2023-06-19 14:50:54.148109",NULL,"PS+","2021-12-18",4
14,"2023-06-19 14:50:54.148109","2023-06-19 14:50:54.148109",NULL,"Adobe Creative Cloud","2013-12-23",4
15,"2023-06-19 14:50:54.148109","2023-06-19 14:50:54.148109",NULL,"Spotify","2017-11-17",4
16,"2023-06-19 14:50:54.148109","2023-06-19 14:50:54.148109",NULL,"Youtube Premium","2019-11-01",4
17,"2023-06-19 14:50:54.148109","2023-06-19 14:50:54.148109",NULL,"Headspace","2023-02-01",4
18,"2023-06-19 14:50:54.148109","2023-06-19 14:50:54.148109","2023-06-30 00:00:00","Disney+","2021-06-30",4
19,"2023-06-19 15:27:30.351569","2023-06-19 15:27:30.351569",NULL,"Apple Watch","2019-12-01",3
20,"2023-06-19 15:27:30.351569","2023-06-19 15:27:30.351569",NULL,"Airpods Pro","2021-01-01",3
21,"2023-06-19 15:27:30.351569","2023-06-19 15:27:30.351569",NULL,"Air Fryer","2021-08-08",3
22,"2023-06-19 15:27:30.351569","2023-06-19 15:27:30.351569",NULL,"Cotopaxi Allpa 35L","2021-01-01",3
23,"2023-06-19 15:27:30.351569","2023-06-19 15:27:30.351569",NULL,"Patagonia Black Hole 25L","2021-11-21",3
24,"2023-06-19 15:27:30.351569","2023-06-19 15:27:30.351569",NULL,"PS5","2022-08-06",3
25,"2023-06-19 15:27:30.351569","2023-06-19 15:27:30.351569",NULL,"Kindle Paperwhite","2023-01-29",3
26,"2023-06-19 15:27:30.351569","2023-06-19 15:27:30.351569",NULL,"Rayban Wayfarer","2023-02-06",3
27,"2023-06-19 15:27:30.351569","2023-06-19 15:27:30.351569",NULL,"Pink Rayban","2023-02-04",3
28,"2023-06-19 15:27:30.351569","2023-06-19 15:27:30.351569","2022-11-11 00:00:00","Nikon D7000","2013-09-10",3
29,"2023-06-19 15:31:18.318174","2023-06-19 15:31:18.318174",NULL,"Lasik","2023-02-03",1
30,"2023-06-19 15:31:18.318174","2023-06-19 15:31:18.318174",NULL,"Born","1984-08-08",1
